name,type,ra_hours,dec_degrees,magnitude,size_arcmin
B 138,DrkN,19.233333,0.833333,,140.00
B 139,DrkN,19.300833,-1.463333,,11.00
B 140,DrkN,19.330000,5.216667,,
B 141,DrkN,19.336667,1.883333,,18.00
B 142,DrkN,19.661667,10.516667,,40.00
B 143,DrkN,19.678333,10.950000,,26.00
B 144,DrkN,19.966667,35.300000,,360.00
B 145,DrkN,20.046667,37.666667,,45.00
B 146,DrkN,20.058333,36.016667,,
B 147,DrkN,20.116416,35.209383,,
B 148,DrkN,20.805000,59.640000,,
B 149,DrkN,20.816667,59.516667,,
B 150,DrkN,20.851667,60.183333,,20.00
B 151,DrkN,21.136667,56.316667,,60.00
B 152,DrkN,21.241667,61.733333,,6.00
B 153,DrkN,21.350000,56.433333,,60.00
B 154,DrkN,21.358333,56.416667,,7.00
B 155,DrkN,21.540000,45.050000,,15.00
B 156,DrkN,21.566667,45.583333,,8.00
B 157,DrkN,21.565556,54.691667,,5.50
B 158,DrkN,21.619808,43.343406,,10.20
B 159,DrkN,21.625000,43.233333,,10.00
B 160,DrkN,21.636667,56.233333,,31.00
B 161,DrkN,21.673333,57.816667,,
B 162,DrkN,21.686667,56.316667,,
B 163,DrkN,21.704278,56.728889,,
B 164,DrkN,21.785000,51.066667,,17.00
B 165,DrkN,21.815000,60.200000,,18.00
B 166,DrkN,21.851667,60.083333,,5.00
B 167,DrkN,21.866667,60.066667,,5.00
B 168,DrkN,21.888333,47.266667,,
B 169,DrkN,21.981667,58.750000,,60.00
B 170,DrkN,21.960000,59.116667,,7.00
B 171,DrkN,22.010000,58.983333,,17.00
B 172,DrkN,22.111667,59.166667,,9.00
B 173,DrkN,22.125000,59.666667,,
B 174,DrkN,22.111667,59.166667,,9.00
B 175,DrkN,22.233333,69.900000,,60.00
B 201,DrkN,2.216667,57.083333,,10.00
B 202,DrkN,3.435000,30.166667,,25.00
B 203,DrkN,3.375000,30.583333,,
B 204,DrkN,3.466847,30.133000,,12.00
B 205,DrkN,3.493333,31.333333,,
B 206,DrkN,3.486667,30.183333,,5.00
B 207,DrkN,4.076667,26.333333,,
B 208,DrkN,4.191667,25.150000,,
B 209,DrkN,4.206667,28.316667,,
B 210,DrkN,4.260000,25.050000,,
B 211,DrkN,4.293056,27.718333,,
B 212,DrkN,4.320000,25.300000,,
B 213,DrkN,4.347500,27.271667,,10.20
B 214,DrkN,4.365000,28.533333,,5.00
B 215,DrkN,4.393333,25.033333,,
B 216,DrkN,4.400000,26.616667,,
B 217,DrkN,4.462917,26.297778,,
B 218,DrkN,4.468333,26.266667,,25.00
B 219,DrkN,4.566667,29.600000,,
B 220,DrkN,4.694111,26.011667,,
B 221,DrkN,4.733333,31.700000,,
B 222,DrkN,5.140000,32.166667,,
B 223,DrkN,5.358333,8.316667,,8.00
B 224,DrkN,5.398333,10.616667,,25.00
B 225,DrkN,5.466667,11.600000,,15.00
B 226,DrkN,5.610000,33.700000,,20.00
B 227,DrkN,6.124556,19.467778,,9.00
B 228,DrkN,15.716903,-34.146633,,240.00
B 229,DrkN,16.283333,-27.300000,,50.00
B 230,DrkN,16.450000,-16.800000,,
B 231,DrkN,16.613889,-35.618333,,
B 232,DrkN,16.728333,-39.816667,,
B 233,DrkN,16.738333,-35.366667,,
B 234,DrkN,16.773333,-30.466667,,18.00
B 235,DrkN,16.779167,-44.513333,,7.00
B 236,DrkN,16.800000,-29.800000,,10.00
B 237,DrkN,16.815000,-29.966667,,37.00
B 238,DrkN,16.868333,-23.083333,,
B 239,DrkN,16.916667,-31.100000,,15.00
B 240,DrkN,16.988333,-35.350000,,
B 241,DrkN,16.991667,-30.183333,,12.00
B 242,DrkN,17.085000,-32.416667,,20.00
B 243,DrkN,17.163333,-29.566667,,
B 244,DrkN,17.168333,-28.400000,,20.00
B 245,DrkN,17.203333,-29.233333,,18.00
B 246,DrkN,17.200000,-22.650000,,
