name,type,ra_hours,dec_degrees,magnitude,size_arcmin
NGC 121,GCl,0.446736,-71.535667,11.24,3.80
NGC 122,*,0.460647,-1.640472,,
NGC 123,*,0.461108,-1.627639,,
NGC 124,G,0.464544,-1.810194,13.73,1.26
NGC 125,G,0.480608,2.838861,12.34,1.40
NGC 126,G,0.485583,2.811111,15.46,0.71
NGC 127,G,0.486769,2.872694,15.32,0.93
NGC 128,G,0.487517,2.864056,11.63,3.16
NGC 129,OCl,0.499497,60.211167,6.50,5.40
NGC 130,G,0.488486,2.870444,14.81,0.72
NGC 131,G,0.494033,-33.259750,13.21,1.81
NGC 132,G,0.502975,2.093444,13.71,1.60
NGC 133,OCl,0.521378,63.352611,9.40,2.10
NGC 134,G,0.506103,-33.244028,10.31,8.38
NGC 135,G,0.529428,-13.337472,15.01,0.66
NGC 136,OCl,0.525219,61.509250,,3.30
NGC 137,G,0.516139,10.208417,12.79,1.38
NGC 138,G,0.516456,5.159750,14.73,1.25
NGC 139,G,0.518444,5.078750,15.45,0.77
NGC 140,G,0.522353,30.792500,14.16,0.87
NGC 141,G,0.521511,5.179750,15.33,0.86
NGC 142,G,0.518911,-22.618667,14.55,0.97
NGC 143,G,0.521006,-22.559944,15.31,1.06
NGC 144,G,0.522408,-22.645722,14.36,0.82
NGC 145,G,0.529372,-5.152639,12.75,1.76
NGC 146,OCl,0.551094,63.309000,9.10,3.60
NGC 147,G,0.553367,48.508750,9.72,9.40
NGC 148,G,0.570972,-31.786000,12.16,1.98
NGC 149,G,0.563961,30.723417,14.96,0.91
NGC 150,G,0.570967,-27.803583,11.41,3.54
NGC 151,G,0.567442,-9.705333,11.66,3.74
NGC 152,OCl,0.547906,-73.120389,12.26,3.00
NGC 153,Dup,0.567442,-9.705333,,
NGC 154,G,0.572075,-12.656306,15.18,1.01
NGC 155,G,0.577800,-10.766500,14.15,1.49
NGC 157,G,0.579656,-8.396444,13.11,3.70
NGC 159,G,0.576536,-55.789972,14.87,1.40
NGC 160,G,0.601128,23.957889,12.66,1.98
NGC 161,G,0.592761,-2.848694,14.36,1.36
NGC 162,*,0.602572,23.962417,,
NGC 163,G,0.599953,-10.121694,12.74,1.43
NGC 164,G,0.609142,2.749778,15.95,0.53
NGC 165,G,0.608033,-10.106167,13.19,1.63
NGC 166,G,0.596883,-13.610639,15.18,0.89
NGC 167,G,0.589747,-23.375000,14.32,0.97
NGC 168,G,0.610739,-22.593500,14.88,1.31
NGC 169,G,0.614333,23.990917,13.10,1.53
NGC 169 A,G,0.614536,23.984972,13.68,0.83
NGC 170,G,0.612728,1.886472,15.36,0.70
NGC 171,G,0.622647,-19.934250,12.25,2.06
NGC 172,G,0.620447,-22.587028,13.52,2.04
NGC 173,G,0.620131,1.942250,13.45,2.09
NGC 174,G,0.616372,-29.477833,13.80,1.57
NGC 175,Dup,0.622647,-19.934250,,
NGC 176,OCl,0.599408,-73.166389,13.01,1.20
NGC 177,G,0.626206,-22.549250,14.15,2.11
NGC 178,G,0.652333,-14.172833,12.57,2.11
NGC 179,G,0.629522,-17.849472,13.21,1.12
NGC 180,G,0.632694,8.635194,14.19,2.20
NGC 181,G,0.639781,29.472583,15.53,0.86
NGC 182,G,0.636772,2.728556,12.57,1.86
NGC 183,G,0.641497,29.511222,12.74,1.02
NGC 184,G,0.643272,29.447611,15.46,0.73
NGC 185,G,0.649436,48.337389,9.20,12.94
NGC 186,G,0.640361,3.166444,14.72,1.39
NGC 187,G,0.658447,-14.656306,14.00,1.53
NGC 188,OCl,0.790981,85.269639,8.10,17.70
NGC 189,OCl,0.659917,61.094472,8.80,2.70
NGC 190,GPair,0.648528,7.059722,,1.10
NGC 190 NED01,G,0.648522,7.062694,14.93,0.93
NGC 190 NED02,G,0.648536,7.056722,15.71,0.72
NGC 191,G,0.649844,-9.002611,13.81,1.00
NGC 191 A,G,0.650067,-9.014583,14.59,0.87
NGC 192,G,0.653731,0.864333,12.64,2.06
NGC 193,G,0.655164,3.331111,12.30,2.07
NGC 194,G,0.655117,3.037444,12.13,1.73
NGC 195,G,0.659942,-9.194528,13.45,1.22
NGC 196,G,0.654956,0.912750,13.49,1.27
NGC 197,G,0.655219,0.891917,13.53,0.94
NGC 198,G,0.656383,2.797917,13.10,1.28
NGC 199,G,0.659214,3.138528,14.61,1.14
NGC 200,G,0.659689,2.887444,12.65,1.80
NGC 201,G,0.659672,0.859889,12.99,1.71
NGC 202,G,0.661069,3.536278,15.45,0.96
NGC 203,G,0.660981,3.442889,14.92,0.98
NGC 204,G,0.662297,3.299583,12.96,1.40
NGC 205,G,0.672800,41.685306,8.15,16.22
NGC 206,*Ass,0.675361,40.739278,,
NGC 207,G,0.661308,-14.237083,14.74,0.91
NGC 208,G,0.671550,2.756500,15.45,0.77
