name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 131,HII,1.554050,30.753250,12.52,0.30
IC 132,HII,1.554422,30.945611,14.82,0.67
IC 133,HII,1.554217,30.888389,18.45,0.45
IC 134,*,1.556944,30.900667,15.98,
IC 135,HII,1.570981,30.620083,,0.40
IC 136,*Ass,1.571122,30.562056,11.04,
IC 137,*Ass,1.560808,30.522500,,
IC 138,G,1.550550,-0.689833,14.72,1.12
IC 139,*Ass,1.566456,30.567444,13.10,
IC 140,*Ass,1.566158,30.550139,,
IC 141,G,1.547697,-14.814611,14.33,1.23
IC 142,HII,1.565425,30.757806,14.20,0.50
IC 143,HII,1.569703,30.776417,11.40,0.30
IC 144,G,1.628014,-13.314667,15.74,0.74
IC 145,G,1.644022,0.741500,15.40,0.69
IC 146,Dup,1.644386,-17.831194,,
IC 147,G,1.666597,-14.862639,15.23,0.76
IC 148,G,1.707492,13.977028,13.84,1.82
IC 149,G,1.707050,-16.300417,14.40,1.27
IC 150,G,1.715978,4.200167,14.86,0.88
IC 151,Other,1.732631,13.202611,,
IC 152,Other,1.735386,13.035861,,
IC 153,Other,1.743392,12.628944,,
IC 154,G,1.754519,10.649194,14.83,1.19
IC 155,Other,1.792314,60.610833,,
IC 156,G,1.758114,10.552722,14.92,1.51
IC 157,Other,1.761778,12.873333,,
IC 158,G,1.764867,-6.935694,15.88,0.70
IC 159,G,1.773625,-8.636611,14.18,1.35
IC 160,G,1.774878,-13.247722,14.88,1.28
IC 161,G,1.812150,10.507889,14.27,0.90
IC 162,G,1.814842,10.521611,14.46,1.32
IC 163,G,1.820831,20.711306,13.26,1.62
IC 164,G,1.819003,-3.904389,14.04,1.58
IC 165,Dup,1.837228,27.645667,,
IC 166,OCl,1.873283,61.852611,11.70,7.50
IC 167,G,1.852378,21.912806,13.26,1.60
IC 168,G,1.841008,-8.522944,14.85,1.12
IC 169,G,1.844267,-12.679611,15.79,0.74
IC 170,G,1.865978,-8.517611,15.34,0.78
IC 171,G,1.919503,35.281889,13.69,2.26
IC 172,G,1.915064,0.811222,14.74,0.48
IC 173,G,1.932542,1.285167,14.09,0.92
IC 174,G,1.937800,3.761861,14.52,1.49
IC 175,G,1.938572,1.332417,15.70,0.52
IC 176,G,1.948167,-2.018972,14.90,1.78
IC 177,G,1.950161,-0.089861,15.47,0.51
IC 178,G,1.981908,36.674694,13.28,0.94
IC 179,G,2.003194,38.021333,12.56,1.12
IC 180,G,2.000114,23.604333,15.30,0.83
IC 181,G,2.000647,23.658639,15.85,0.57
IC 182,G,1.997725,7.411833,14.54,1.06
IC 183,G,1.992792,-5.347139,14.89,1.19
