name,type,ra_hours,dec_degrees,magnitude,size_arcmin
vdB 112,RfN,17.892017,-5.619400,9.60,1.20
vdB 113,RfN,18.144052,-21.449560,6.80,17.00
vdB 114,RfN,18.141667,-18.383330,9.10,1.20
vdB 115,RfN,18.152333,-23.435350,9.30,1.80
vdB 116,RfN,18.177455,-17.733930,9.50,0.60
vdB 117,RfN,18.243884,-17.362940,9.10,2.20
vdB 118,RfN,18.281240,-19.777810,9.40,5.20
vdB 119,RfN,18.284954,-19.864660,9.40,5.60
vdB 120,RfN,18.287991,-16.928630,8.80,1.20
vdB 121,RfN,18.337760,-17.004180,9.43,0.60
vdB 122,RfN,18.409305,-13.653550,9.30,1.20
vdB 123,RfN,18.506910,1.223230,9.10,3.40
vdB 124,RfN,18.523804,-10.795840,5.50,36.00
vdB 125,RfN,19.433577,15.556850,8.00,1.20
vdB 126,RfN,19.436477,22.757290,8.30,8.00
vdB 127,RfN,19.789796,18.534310,3.82,66.00
vdB 128,RfN,20.076715,32.218600,5.63,8.00
vdB 129,RfN,20.188413,-0.821460,3.24,96.00
vdB 130,RfN,20.295054,39.349550,9.50,1.20
vdB 131,RfN,20.404365,42.300380,9.10,5.60
vdB 132,RfN,20.412953,42.384800,8.70,5.60
vdB 133,RfN,20.516453,36.935840,6.19,11.40
vdB 134,RfN,20.500983,48.951570,4.95,22.00
vdB 135,RfN,20.612663,32.454610,8.60,2.80
vdB 136,RfN,20.638103,42.073680,7.80,8.60
vdB 137,RfN,20.930501,47.417660,5.69,13.60
vdB 138,RfN,20.954607,48.295770,8.28,7.40
vdB 139,RfN,21.026923,68.163270,6.80,17.00
vdB 140,RfN,21.288553,58.611480,6.41,20.00
vdB 141,RfN,21.273980,68.260150,9.40,8.40
vdB 142,RfN,21.611399,57.502290,8.80,1.20
vdB 143,RfN,21.615849,68.185360,8.30,9.60
vdB 144,RfN,21.678697,54.872160,6.00,3.40
vdB 145,RfN,21.726991,48.883760,7.40,8.60
vdB 146,RfN,21.713939,66.109770,9.40,9.00
vdB 147,RfN,21.876139,47.228780,9.50,1.80
vdB 148,RfN,22.121388,56.234020,8.70,3.40
vdB 149,RfN,22.152357,72.884720,9.10,5.20
vdB 150,RfN,22.161146,73.390900,8.40,11.40
vdB 151,RfN,22.231313,39.714920,4.49,10.80
vdB 152,RfN,22.223480,70.251410,8.80,13.60
vdB 153,RfN,22.386739,62.699970,9.40,2.80
vdB 154,RfN,22.520438,65.466240,8.90,10.20
vdB 155,RfN,22.887668,62.145830,9.29,6.20
vdB 156,RfN,23.032018,42.325980,3.62,188.00
vdB 157,RfN,23.037703,72.730400,7.80,4.60
vdB 158,RfN,23.630999,48.496570,9.00,3.40
