name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Cr 312,OCl,16.769167,-47.026667,8.20,5.00
Cr 313,OCl,16.822389,-53.713889,7.20,19.40
Cr 315,OCl,16.903000,-41.811944,,120.00
Cr 316,OCl,16.924999,-40.833330,3.40,
Cr 318,OCl,16.925000,-40.833333,,
Cr 323,OCl,17.034944,-39.721111,,6.00
Cr 332,OCl,17.513333,-37.083333,8.90,
Cr 333,OCl,17.525000,-34.016667,9.80,7.00
Cr 336,OCl,17.605556,-33.516667,6.70,6.00
Cr 338,OCl,17.632194,-37.656944,8.00,29.00
Cr 345,OCl,17.743056,-33.866667,,
Cr 347,OCl,17.773000,-29.325000,8.80,10.00
Cr 349,OCl,17.770278,5.615000,,60.70
Cr 350,OCl,17.801194,1.525000,6.10,94.30
Cr 351,OCl,17.817333,-28.745000,9.30,8.40
Cr 359,OCl,18.039861,3.260000,,187.40
Cr 360,OCl,18.045000,-22.971667,,28.00
Cr 367,OCl,18.164167,-23.828333,6.40,
Cr 373,OCl,18.300833,-12.241667,,
Cr 374,OCl,18.307722,-18.408889,11.10,6.00
Cr 384,OCl,18.557278,-10.398889,8.90,5.00
Cr 391,OCl,18.851056,-6.271944,5.80,8.90
Cr 393,OCl,18.907722,-19.888056,7.50,11.90
Cr 394,OCl,18.872806,-20.228889,6.30,23.50
Cr 399,OCl,19.423333,20.183333,3.60,
Cr 400,OCl,19.510056,20.261944,8.80,3.34
Cr 401,OCl,19.640000,0.316667,,
Cr 404,OCl,19.707778,23.087778,,0.80
Cr 408,OCl,19.888056,18.345000,7.70,9.50
Cr 411,OCl,20.280000,-79.040000,,
Cr 416,OCl,20.193667,26.531944,,14.90
Cr 419,OCl,20.302278,40.731944,,7.00
Cr 421,OCl,20.388611,41.701111,10.10,17.20
Cr 426,OCl,20.983333,-12.633333,,
Cr 427,OCl,20.991667,68.166667,13.80,
Cr 428,OCl,21.051200,44.560000,8.70,
Cr 432,OCl,21.202194,47.770000,8.80,5.20
Cr 433,OCl,21.218944,42.493889,12.00,5.80
Cr 439,OCl,21.649667,57.513889,,146.00
Cr 442,OCl,21.752667,65.781944,9.30,8.00
Cr 445,OCl,22.175000,52.858056,9.00,10.90
Cr 446,OCl,22.173667,55.398056,9.60,2.30
Cr 457,OCl,23.831472,68.035000,,20.40
Cr 458,OCl,5.458867,7.075000,,
Cr 463,OCl,1.802056,71.738056,,73.00
Cr 464,OCl,5.210833,73.974720,4.20,
Cr 465,OCl,7.114000,-10.520000,,
Cr 466,OCl,7.115556,-10.715000,,4.00
Cr 467,OCl,7.655000,-10.550000,11.80,
Cr 468,OCl,18.108667,-27.447000,13.40,
Cr 469,OCl,18.276194,-18.308889,9.10,3.00
Cr 470,OCl,21.891467,47.246000,,8.20
Cr 471,OCl,22.112533,71.975000,,347.00
