name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Arp 135,G,2.673337,39.063240,9.35,
Arp 136,G,14.977719,53.885958,,1.75
Arp 137,G,9.567440,10.108717,,1.50
Arp 138,GPair,11.978500,25.036636,,1.41
Arp 139,GPair,13.124222,26.723333,,0.83
Arp 140,G,0.850514,-7.057009,,1.33
Arp 141,GPair,7.239000,73.476944,,2.82
Arp 142,GPair,9.629056,2.754167,,
Arp 143,G,7.781404,39.031972,,0.41
Arp 144,G,0.107523,-13.416131,,1.35
Arp 145,GPair,2.386496,41.368014,,1.51
Arp 146,GPair,0.112449,-6.637030,,0.30
Arp 147,GPair,3.188583,1.314722,,0.65
Arp 148,GPair,11.064970,40.849968,,0.55
Arp 149,GPair,12.658333,16.616667,,
Arp 150,GPair,23.325012,9.508290,14.29,0.88
Arp 151,G,11.426709,54.382532,16.47,0.36
Arp 152,G,12.513729,12.391123,8.63,6.30
Arp 153,G,13.424338,-43.019113,6.84,25.70
Arp 154,G,3.378275,-37.208200,8.53,9.74
Arp 156,GPair,10.710593,77.494840,14.77,1.26
Arp 157,G,1.409742,3.792410,11.42,5.10
Arp 158,G,1.422429,34.025158,,1.20
Arp 159,G,12.862665,25.775034,,3.50
Arp 160,G,12.236004,54.526646,13.30,0.75
Arp 161,G,11.703404,0.334356,13.67,0.69
Arp 162,G,10.854503,27.975083,,3.03
Arp 163,G,12.754764,27.125489,12.90,1.48
Arp 164,G,1.266013,5.178674,,2.22
Arp 165,G,7.610416,17.883853,,2.06
Arp 167,GGroup,8.823056,19.074444,,
Arp 168,G,0.711618,40.865170,8.08,3.38
Arp 169,G,22.245830,13.846514,14.30,0.98
Arp 170,G,23.287096,18.708153,,2.43
Arp 171,GPair,14.666667,3.466667,,
Arp 172,GPair,16.090833,17.598333,,
Arp 173,GPair,14.858000,9.327222,,
Arp 174,GPair,9.977803,28.877529,14.05,0.92
Arp 175,G,12.552794,11.347340,,1.09
Arp 176,GPair,13.065917,-11.496944,,3.47
Arp 177,GPair,14.930000,24.600000,,
Arp 178,G,14.402108,34.858837,,2.32
Arp 179,G,3.033448,-4.690567,,0.74
Arp 180,G,4.890167,-4.792662,,1.10
Arp 181,GPair,10.474569,79.818300,,
Arp 182,G,23.465749,8.778959,13.23,1.04
Arp 183,G,13.582042,31.393514,,0.87
Arp 184,G,5.701287,69.378448,10.99,4.17
Arp 185,G,16.544225,78.198191,13.88,2.65
Arp 186,G,4.566674,-8.579047,13.99,1.31
Arp 187,G,5.081405,-10.247871,,0.51
Arp 188,GPair,16.101086,55.425441,,1.49
Arp 189,G,12.728510,16.393334,10.92,3.83
Arp 190,GPair,2.836294,12.880667,,0.66
Arp 191,GPair,11.122452,18.433856,,0.49
Arp 192,G,10.616684,18.135802,,1.47
Arp 193,G,13.343161,34.139400,,0.86
Arp 194,G,11.965236,36.392759,,0.64
Arp 195,GPair,8.898506,35.145575,,0.94
Arp 196,GPair,13.240000,26.133333,,0.42
Arp 197,G,11.516849,20.469053,,0.92
Arp 198,GPair,10.995880,17.650308,,0.88
Arp 199,G,14.284034,36.571588,,1.21
Arp 200,G,2.894822,13.014225,,3.20
Arp 201,G,0.393826,-0.503123,,0.61
Arp 203,G,11.519265,28.566461,,1.29
Arp 204,G,13.378332,84.501956,,0.54
Arp 205,G,10.910900,54.305228,,3.19
Arp 206,G,10.875314,36.618778,11.67,7.84
Arp 207,G,9.519716,76.465028,,0.98
Arp 208,GPair,16.850667,47.222500,,
Arp 209,G,16.086909,20.542391,13.00,0.64
Arp 210,G,4.513663,64.847922,11.03,
Arp 211,GPair,12.622694,38.741111,,0.40
Arp 212,G,23.341703,17.225600,11.98,1.66
Arp 213,G,4.129691,69.812421,,
Arp 214,G,11.543016,53.067922,10.61,4.01
Arp 215,G,9.234755,40.113800,11.63,2.18
Arp 216,G,23.479628,3.511393,,1.23
Arp 217,G,10.646071,53.503304,12.15,2.15
Arp 218,GPair,15.893500,18.610278,,0.59
Arp 219,G,3.664810,-2.113097,,0.73
Arp 220,G,15.582562,23.503225,13.88,1.26
Arp 221,G,9.607793,-11.330588,,0.96
Arp 222,G,23.664964,-12.293011,,3.48
Arp 223,G,23.300374,-4.650297,18.70,2.89
Arp 224,G,11.851911,55.078726,12.64,1.79
Arp 225,G,8.927148,78.223083,11.08,5.02
Arp 226,G,22.345771,-24.678308,12.06,0.88
Arp 227,G,1.335191,3.415517,11.51,2.50
Arp 228,G,1.812149,10.507890,,0.97
Arp 229,G,1.394431,33.256172,,3.02
Arp 230,G,0.773393,-13.442397,,1.27
Arp 231,G,0.725936,-4.117810,14.85,1.60
Arp 232,G,9.562808,10.152450,13.83,3.35
Arp 233,G,10.542210,54.400981,13.13,1.19
Arp 234,G,11.596939,54.523528,12.04,2.82
Arp 235,G,0.146175,15.816957,,2.27
Arp 236,GPair,1.129788,-17.506950,,
Arp 237,GPair,9.462091,12.287528,,1.04
Arp 238,GPair,13.259028,62.126944,,
Arp 239,G,13.694335,55.670675,,0.98
Arp 240,GPair,13.665294,0.835110,,
Arp 241,GPair,14.630883,30.479783,,0.60
Arp 242,GPair,12.769494,30.731583,,2.34
Arp 243,G,8.640004,25.754525,13.36,1.30
Arp 244,GPair,12.031436,-18.877200,,
Arp 245,G,9.761679,-14.326361,12.18,3.24
Arp 246,GPair,0.113972,8.344722,,
Arp 248,G,11.779229,-3.848041,13.61,1.13
Arp 249,GPair,0.005368,22.990561,,0.91
Arp 250,G,7.599054,35.383365,,0.75
Arp 251,GGroup,0.896806,-13.858056,,
Arp 252,GPair,9.746667,-19.683333,,
Arp 253,G,9.723611,-5.281111,,
Arp 254,GPair,15.358333,-7.366667,,
Arp 255,GPair,9.885781,7.866166,,0.64
Arp 256,G,0.314138,-10.376803,14.33,0.51
Arp 257,G,8.860528,-2.366060,,1.21
Arp 258,G,2.651667,18.384720,,2.00
Arp 259,G,5.027306,-4.256944,,1.23
Arp 260,GPair,12.227122,16.119314,,0.75
Arp 261,G,14.825750,-10.163056,,1.78
Arp 262,GPair,23.945733,16.808583,,2.60
Arp 263,G,10.418019,17.163669,,3.14
Arp 264,G,10.065885,40.761509,,2.37
Arp 265,G,12.898035,36.086994,,0.65
Arp 267,G,10.611984,31.547275,,0.80
Arp 268,GPair,8.318052,70.720302,11.39,3.84
Arp 269,G,12.509580,41.640500,9.79,6.76
Arp 270,GPair,10.830575,32.982056,,
Arp 271,GPair,14.057070,-6.049960,,
Arp 272,G,16.091917,17.768333,,
Arp 273,GPair,2.357974,39.375589,12.92,1.20
Arp 274,GPair,14.585767,5.358960,,0.99
Arp 275,G,9.431871,-11.996210,,0.73
Arp 276,G,2.469761,19.599145,12.82,1.76
Arp 277,GPair,12.913861,2.649167,,0.30
Arp 278,G,22.324361,29.395792,,2.70
Arp 279,G,3.235846,-2.822950,,5.43
Arp 280,G,11.628909,47.892995,,4.31
Arp 281,G,12.702225,32.541511,9.19,16.56
Arp 282,G,0.614335,23.990987,13.10,2.57
Arp 283,GPair,9.290831,41.996900,,
Arp 284,GPair,23.605278,2.155000,,
Arp 285,GGroup,9.401412,49.218304,,
Arp 286,G,14.338874,3.933590,10.55,8.04
Arp 287,GPair,9.044333,25.935483,,
Arp 288,GPair,13.582197,13.832539,,1.67
Arp 289,G,11.935401,-19.896178,,4.17
Arp 290,GGroup,2.063506,14.722878,,
Arp 291,G,10.713465,13.459838,,1.51
Arp 292,G,9.909146,-6.857587,,1.55
Arp 293,G,16.974389,58.946667,,
Arp 294,GGroup,11.662137,31.922938,,
Arp 295,G,23.696468,-3.667194,13.57,1.92
Arp 296,GPair,11.479403,58.593521,,0.69
Arp 297,G,14.755278,38.761667,,
Arp 298,GPair,23.054686,8.883820,,
Arp 299,GPair,11.475273,58.561300,12.86,
Arp 300,GPair,9.463933,68.410112,,0.56
Arp 301,G,11.164303,24.261732,,0.40
Arp 302,GPair,14.950278,24.611389,,
Arp 303,G,9.772322,3.045517,,1.13
Arp 304,G,3.187394,-8.921882,11.99,2.74
Arp 305,G,11.974729,27.528780,,0.91
Arp 306,GPair,1.541439,4.595028,,0.97
Arp 307,G,9.428481,11.432147,,1.08
Arp 309,GPair,2.486111,-10.831667,,
Arp 310,GPair,17.456861,58.516909,,0.23
Arp 311,GPair,17.451667,58.533333,,
Arp 312,G,16.830141,46.718130,,0.99
Arp 313,G,11.960241,32.277624,12.87,1.65
Arp 314,G,22.967289,-3.769692,13.21,1.08
Arp 315,G,9.329681,33.749742,13.17,3.05
Arp 316,G,10.301568,21.831939,11.15,6.13
Arp 317,GPair,11.316667,13.200000,,
