name,type,ra_hours,dec_degrees,magnitude,size_arcmin
LDN 121,DrkN,16.657889,-14.089167,,
LDN 122,DrkN,16.921667,-16.746667,,
LDN 123,DrkN,18.126667,-27.416667,,3.00
LDN 124,DrkN,18.220000,-27.983333,,125.00
LDN 125,DrkN,17.600556,-24.197302,,
LDN 126,DrkN,17.718333,-24.016667,,36.00
LDN 127,DrkN,18.135000,-27.316667,,5.00
LDN 128,DrkN,17.516667,-22.200000,,
LDN 129,DrkN,16.918889,-16.366667,,
LDN 130,DrkN,17.751667,-24.183333,,33.00
LDN 131,DrkN,17.416667,-21.216667,,36.00
LDN 132,DrkN,16.915000,-16.250000,,14.00
LDN 133,DrkN,17.978333,-26.083333,,21.00
LDN 134,DrkN,15.893417,-4.590556,,
LDN 135,DrkN,18.035000,-26.333333,,
LDN 136,DrkN,17.483333,-21.700000,,23.00
LDN 137,DrkN,16.848333,-15.416667,,57.00
LDN 138,DrkN,17.400000,-20.883333,,61.00
LDN 139,DrkN,17.280000,-19.716667,,20.00
LDN 140,DrkN,17.885000,-25.016667,,60.00
LDN 141,DrkN,16.848333,-15.250000,,17.00
LDN 142,DrkN,17.716667,-23.516667,,73.00
LDN 143,DrkN,18.168333,-26.983333,,
LDN 144,DrkN,17.671176,-23.020497,,7.80
LDN 145,DrkN,16.572019,-12.314917,,
LDN 146,DrkN,16.954861,-16.155000,,6.00
LDN 147,DrkN,18.068333,-26.166667,,13.00
LDN 148,DrkN,16.773333,-14.166667,,7.00
LDN 149,DrkN,17.450000,-20.883333,,
LDN 150,DrkN,17.951667,-25.000000,,
LDN 151,DrkN,18.101667,-26.166667,,38.00
LDN 152,DrkN,16.830000,-14.583333,,61.00
LDN 153,DrkN,17.666667,-22.616667,,43.00
LDN 154,DrkN,17.700000,-22.850000,,42.00
LDN 155,DrkN,17.633333,-22.283333,,76.00
LDN 156,DrkN,16.621667,-12.266667,,21.00
LDN 157,DrkN,18.151667,-26.400000,,5.50
LDN 158,DrkN,16.797222,-14.088333,,15.00
LDN 159,DrkN,17.808333,-23.683333,,16.00
LDN 160,DrkN,17.750639,-23.186667,,
LDN 161,DrkN,17.851667,-24.016667,,21.00
LDN 162,DrkN,16.817500,-14.178333,,17.00
LDN 163,DrkN,16.830000,-14.333333,,11.00
LDN 164,DrkN,17.616667,-21.866667,,15.00
LDN 165,DrkN,18.268333,-26.983333,,14.00
LDN 166,DrkN,18.035000,-25.166667,,5.50
LDN 167,DrkN,18.101667,-25.666667,,23.00
LDN 168,DrkN,17.549806,-21.034444,,
LDN 169,DrkN,15.876667,-3.316667,,
LDN 170,DrkN,17.783333,-23.016667,,
LDN 171,DrkN,18.051667,-25.166667,,34.00
LDN 172,DrkN,17.634718,-21.676457,,
LDN 173,DrkN,17.290000,-18.516667,,6.00
LDN 174,DrkN,17.650000,-21.700000,,8.50
LDN 175,DrkN,17.303333,-18.520000,,36.00
LDN 176,DrkN,18.168333,-25.816667,,33.00
